***BUSMASTER Ver 2.6.2***
***PROTOCOL CAN***
***NOTE: PLEASE DO NOT EDIT THIS DOCUMENT***
***[START LOGGING SESSION]***
***START DATE AND TIME 31:10:2019 11:48:35:580***
***HEX***
***SYSTEM MODE***
***START CHANNEL BAUD RATE***
***CHANNEL 1 - PCAN-USB Device ID - FFh - 500000 bps***
***END CHANNEL BAUD RATE***
***START DATABASE FILES (DBF/DBC)***
***END OF DATABASE FILES (DBF/DBC)***
***<Time><Tx/Rx><Channel><CAN ID><Type><DLC><DataBytes>***
11:48:50:7329 Rx 1 0xCFE6C3D x 8 FF FF FF FF 00 00 00 00 
11:48:50:7728 Rx 1 0xCF0233D x 8 00 00 FE FF FF FF FF FF 
11:48:50:7731 Rx 1 0xCF0243D x 8 00 00 F0 FF FF FF FF FF 
11:48:50:7734 Rx 1 0x18FEDF3D x 8 FF 00 00 00 FF 00 00 F0 
11:48:50:7826 Rx 1 0xCFE6C3D x 8 FF FF FF FF 00 00 00 00 
11:48:50:8226 Rx 1 0xCF0233D x 8 00 00 FE FF FF FF FF FF 
11:48:50:8229 Rx 1 0xCF0243D x 8 00 00 F0 FF FF FF FF FF 
11:48:50:8328 Rx 1 0xCFE6C3D x 8 FF FF FF FF 00 00 00 00 
11:48:50:8728 Rx 1 0xCF0233D x 8 00 00 FE FF FF FF FF FF 
11:48:50:8731 Rx 1 0xCF0243D x 8 00 00 F0 FF FF FF FF FF 
11:48:50:8827 Rx 1 0xCFE6C3D x 8 FF FF FF FF 00 00 00 00 
11:48:50:9226 Rx 1 0xCF0233D x 8 00 00 FE FF FF FF FF FF 
11:48:50:9229 Rx 1 0xCF0243D x 8 00 00 F0 FF FF FF FF FF 
11:48:50:9328 Rx 1 0xCFE6C3D x 8 FF FF FF FF 00 00 00 00 
11:48:50:9626 Rx 1 0x18FE563D x 8 00 FE FF FF FF FF FF FF 
11:48:50:9728 Rx 1 0xCF0233D x 8 00 00 FE FF FF FF FF FF 
11:48:50:9731 Rx 1 0xCF0243D x 8 00 00 F0 FF FF FF FF FF 
11:48:50:9734 Rx 1 0x14FD3E3D x 8 FF FE FF 20 22 FF FF FF 
11:48:50:9737 Rx 1 0x18FEF63D x 8 DE FE FE FE FF 20 22 FF 
11:48:50:9826 Rx 1 0xCFE6C3D x 8 FF FF FF FF 00 00 00 00 
11:48:51:0226 Rx 1 0xCF0233D x 8 00 00 FE FF FF FF FF FF 
11:48:51:0229 Rx 1 0xCF0243D x 8 00 00 F0 FF FF FF FF FF 
11:48:51:0232 Rx 1 0x18FEDF3D x 8 FF 00 00 00 FF 00 00 F0 
11:48:51:0235 Rx 1 0x18FEF53D x 8 DE FF FF 20 1D 41 FF FF 
11:48:51:0329 Rx 1 0xCFE6C3D x 8 FF FF FF FF 00 00 00 00 
11:48:51:0728 Rx 1 0xCF0233D x 8 00 00 FE FF FF FF FF FF 
11:48:51:0731 Rx 1 0xCF0243D x 8 00 00 F0 FF FF FF FF FF 
11:48:51:0826 Rx 1 0xCFE6C3D x 8 FF FF FF FF 00 00 00 00 
11:48:51:1227 Rx 1 0xCF0233D x 8 00 00 FE FF FF FF FF FF 
11:48:51:1229 Rx 1 0xCF0243D x 8 00 00 F0 FF FF FF FF FF 
11:48:51:1328 Rx 1 0xCFE6C3D x 8 FF FF FF FF 00 00 00 00 
11:48:51:1728 Rx 1 0xCF0233D x 8 00 00 FE FF FF FF FF FF 
11:48:51:1731 Rx 1 0xCF0243D x 8 00 00 F0 FF FF FF FF FF 
11:48:51:1827 Rx 1 0xCFE6C3D x 8 FF FF FF FF 00 00 00 00 
11:48:51:2016 Rx 1 0x18EA003D x 3 10 FD 00 
11:48:51:2226 Rx 1 0xCF0233D x 8 00 00 FE FF FF FF FF FF 
11:48:51:2229 Rx 1 0xCF0243D x 8 00 00 F0 FF FF FF FF FF 
11:48:51:2328 Rx 1 0xCFE6C3D x 8 FF FF FF FF 00 00 00 00 
11:48:51:2729 Rx 1 0xCF0233D x 8 00 00 FE FF FF FF FF FF 
11:48:51:2731 Rx 1 0xCF0243D x 8 00 00 F0 FF FF FF FF FF 
11:48:51:2734 Rx 1 0x18FEDF3D x 8 FF 00 00 00 FF 00 00 F0 
11:48:51:2826 Rx 1 0xCFE6C3D x 8 FF FF FF FF 00 00 00 00 
11:48:51:3227 Rx 1 0xCF0233D x 8 00 00 FE FF FF FF FF FF 
11:48:51:3229 Rx 1 0xCF0243D x 8 00 00 F0 FF FF FF FF FF 
11:48:51:3329 Rx 1 0xCFE6C3D x 8 FF FF FF FF 00 00 00 00 
11:48:51:3618 Rx 1 0x1CECFF3D x 8 20 1A 00 04 FF CA FE 00 
11:48:51:3728 Rx 1 0xCF0233D x 8 00 00 FE FF FF FF FF FF 
11:48:51:3731 Rx 1 0xCF0243D x 8 00 00 F0 FF FF FF FF FF 
11:48:51:3826 Rx 1 0xCFE6C3D x 8 FF FF FF FF 00 00 00 00 
11:48:51:4117 Rx 1 0x1CEBFF3D x 8 01 00 FF 98 0D 00 01 9D 
11:48:51:4227 Rx 1 0xCF0233D x 8 00 00 FE FF FF FF FF FF 
11:48:51:4230 Rx 1 0xCF0243D x 8 00 00 F0 FF FF FF FF FF 
11:48:51:4329 Rx 1 0xCFE6C3D x 8 FF FF FF FF 00 00 00 00 
11:48:51:4617 Rx 1 0x1CEBFF3D x 8 02 0D 00 01 AD 0C 00 01 
11:48:51:4728 Rx 1 0xCF0233D x 8 00 00 FE FF FF FF FF FF 
11:48:51:4731 Rx 1 0xCF0243D x 8 00 00 F0 FF FF FF FF FF 
11:48:51:4734 Rx 1 0x14FD3E3D x 8 FF FE FF 20 22 FF FF FF 
11:48:51:4736 Rx 1 0x18FEF63D x 8 DE FE FE FE FF 20 22 FF 
11:48:51:4827 Rx 1 0xCFE6C3D x 8 FF FF FF FF 00 00 00 00 
11:48:51:5118 Rx 1 0x1CEBFF3D x 8 03 BB 0D 00 01 A0 0D 00 
11:48:51:5226 Rx 1 0xCF0233D x 8 00 00 FE FF FF FF FF FF 
11:48:51:5229 Rx 1 0xCF0243D x 8 00 00 F0 FF FF FF FF FF 
11:48:51:5232 Rx 1 0x18FEDF3D x 8 FF 00 00 00 FF 00 00 F0 
